method,split seed,p,selection,labels,improvement
OBMA,6,"(0.25, 30)","[[5, 6, 9, 14, 15, 16, 26, 28, 31], [11, 12, 13, 15, 19, 20, 21, 30, 33, 35], [1, 5, 6, 9, 10, 13, 16, 21, 26, 35, 40]]","[2, 0, 1]",[nan]
OBMA,6,"(0.125, 15)","[[6, 15, 26, 31], [11, 13, 19, 33, 35], [1, 6, 10, 16, 26, 40]]","[2, 0, 1]",[nan]
OBMA,7,"(0.5, 60)","[[0, 1, 3, 4, 6, 10, 12, 14, 15, 16, 17, 18, 20, 22, 23, 25, 29, 34], [1, 4, 5, 6, 7, 8, 9, 11, 14, 15, 16, 18, 19, 22, 23, 24, 28, 29, 32, 33], [2, 3, 5, 7, 12, 13, 14, 15, 17, 19, 21, 22, 23, 24, 28, 30, 31, 33, 36, 37, 38]]","[1, 2, 0]",[nan]
OBMA,7,"(0.25, 30)","[[0, 1, 4, 10, 12, 18, 22, 29, 34], [4, 5, 8, 9, 11, 14, 15, 16, 19, 32], [7, 12, 13, 14, 17, 21, 22, 23, 31, 36, 37]]","[1, 2, 0]",[nan]
OBMA,7,"(0.125, 15)","[[0, 22, 29, 34], [5, 9, 11, 14, 15], [12, 14, 17, 21, 22, 36]]","[1, 2, 0]",[nan]
OBMA,8,"(0.5, 60)","[[5, 9, 10, 11, 12, 14, 15, 16, 17, 22, 23, 24, 25, 27, 28, 31, 32, 33], [0, 1, 2, 6, 8, 9, 13, 14, 17, 18, 19, 22, 23, 25, 26, 28, 31, 32, 34, 35], [0, 1, 4, 5, 6, 7, 8, 11, 15, 16, 18, 19, 21, 22, 23, 25, 26, 29, 32, 33, 34]]","[0, 1, 2]",[nan]
OBMA,8,"(0.25, 30)","[[9, 10, 11, 14, 16, 24, 28, 31, 33], [0, 2, 6, 9, 13, 14, 19, 23, 25, 28], [4, 5, 8, 11, 15, 16, 18, 22, 23, 26, 33]]","[0, 1, 2]",[nan]
OBMA,8,"(0.125, 15)","[[9, 10, 31, 33], [0, 6, 9, 14, 28], [5, 11, 15, 18, 26, 33]]","[0, 1, 2]",[nan]
OBMA,9,"(0.5, 60)","[[0, 1, 2, 3, 7, 8, 11, 12, 14, 16, 17, 20, 21, 23, 25, 28, 30, 33, 38], [2, 3, 5, 9, 11, 12, 15, 16, 17, 22, 24, 25, 27, 28, 29, 32, 33, 34, 35, 37], [0, 5, 6, 7, 10, 11, 13, 14, 15, 16, 17, 18, 20, 23, 24, 26, 27, 30, 31, 33]]","[1, 0, 2]",[nan]
OBMA,9,"(0.25, 30)","[[0, 2, 8, 12, 14, 17, 23, 33, 38], [5, 12, 15, 16, 24, 25, 29, 32, 33, 35], [5, 6, 7, 10, 13, 14, 15, 17, 24, 30, 33]]","[1, 0, 2]",[nan]
OBMA,9,"(0.125, 15)","[[0, 8, 17, 38], [12, 15, 16, 25, 32], [5, 10, 13, 14, 24, 30]]","[1, 0, 2]",[nan]
