method,split seed,p,selection,labels,improvement
OBMA,5,"(0.125, 21)","[[5, 13, 18, 31, 45, 46], [14, 29, 31, 33, 44, 49], [14, 15, 19, 20, 23, 35, 52, 55, 57]]","[1, 3, 2]",[nan]
OBMA,6,"(0.5, 84)","[[3, 4, 9, 10, 12, 13, 14, 15, 18, 19, 21, 28, 32, 33, 34, 35, 38, 39, 41, 42, 45, 46, 47, 49, 50, 52, 53], [1, 2, 3, 4, 8, 9, 10, 11, 12, 17, 18, 22, 23, 26, 27, 30, 31, 32, 39, 40, 42, 43, 44, 46, 47, 48, 49, 55], [1, 2, 6, 9, 11, 16, 17, 19, 20, 21, 22, 24, 25, 26, 29, 30, 32, 36, 40, 41, 44, 45, 46, 48, 50, 52, 53, 55]]","[2, 1, 3]",[nan]
OBMA,6,"(0.25, 42)","[[12, 13, 14, 18, 19, 21, 28, 35, 41, 42, 45, 47, 53], [3, 8, 12, 17, 18, 22, 27, 32, 39, 42, 44, 46, 47, 48], [1, 2, 9, 16, 17, 19, 30, 32, 40, 44, 45, 48, 50, 52, 55]]","[2, 1, 3]",[nan]
OBMA,6,"(0.125, 21)","[[12, 13, 14, 19, 42, 47], [3, 18, 27, 39, 42, 46, 48], [9, 16, 20, 30, 40, 48, 52, 55]]","[2, 1, 3]",[nan]
OBMA,7,"(0.5, 84)","[[1, 2, 5, 7, 9, 11, 13, 14, 16, 17, 20, 22, 23, 24, 28, 29, 30, 31, 34, 40, 41, 42, 44, 47, 48, 49, 50], [3, 8, 10, 13, 14, 16, 17, 19, 20, 21, 25, 27, 28, 30, 31, 33, 34, 35, 37, 44, 45, 46, 47, 48, 49, 50, 55, 56], [2, 5, 6, 9, 10, 11, 14, 15, 19, 22, 23, 29, 31, 32, 33, 34, 35, 36, 39, 40, 41, 43, 47, 49, 51, 52, 54, 55]]","[3, 1, 2]",[nan]
OBMA,7,"(0.25, 42)","[[1, 2, 7, 14, 17, 20, 28, 30, 31, 40, 44, 47, 49], [3, 8, 14, 16, 20, 25, 27, 31, 37, 44, 45, 47, 49, 50], [2, 10, 15, 19, 22, 29, 31, 32, 33, 41, 43, 49, 51, 54, 55]]","[3, 1, 2]",[nan]
OBMA,7,"(0.125, 21)","[[7, 14, 40, 44, 47, 49], [3, 20, 25, 31, 33, 47, 50], [2, 15, 19, 22, 33, 43, 51, 55]]","[3, 1, 2]",[nan]
OBMA,8,"(0.5, 84)","[[1, 2, 5, 6, 7, 13, 17, 18, 20, 21, 22, 25, 26, 27, 28, 29, 30, 33, 34, 38, 39, 42, 43, 44, 45, 48, 52], [3, 5, 6, 7, 9, 11, 12, 13, 15, 19, 20, 21, 26, 28, 29, 31, 32, 33, 35, 40, 42, 43, 44, 45, 47, 48, 49, 55], [1, 2, 5, 6, 7, 11, 12, 13, 14, 15, 19, 29, 30, 31, 32, 33, 34, 35, 39, 40, 41, 43, 47, 49, 51, 53, 55, 56]]","[3, 1, 2]",[nan]
OBMA,8,"(0.25, 42)","[[1, 2, 13, 18, 20, 22, 26, 27, 29, 30, 38, 45, 52], [3, 5, 7, 13, 15, 21, 26, 28, 32, 35, 42, 47, 48, 49], [6, 7, 12, 13, 14, 15, 31, 33, 41, 43, 47, 49, 51, 53, 56]]","[3, 1, 2]",[nan]
OBMA,8,"(0.125, 21)","[[1, 13, 26, 29, 30, 52], [3, 7, 15, 35, 42, 47, 49], [12, 13, 14, 33, 43, 47, 51, 53]]","[3, 1, 2]",[nan]
