method,split seed,p,selection,labels,improvement
OBMA,3,"(0.25, 72)","[[0, 8, 11, 13], [1, 2, 4, 15, 20, 22, 28, 29, 31, 33], [3, 4, 7, 13, 23, 24, 33, 35, 37, 39], [0, 4, 5, 7, 8, 9, 10, 23, 28, 39, 45, 46, 49], [2, 4, 5, 6, 7, 9, 12, 13, 19, 20, 22, 27, 33, 44, 59], [7, 11, 14, 16, 17, 19, 21, 22, 23, 25, 26, 27, 34, 44, 45, 64, 66, 70, 76, 77]]","[6, 5, 4, 2, 3, 1]",[nan]
OBMA,3,"(0.125, 36)","[[0, 13], [2, 4, 22, 29, 31], [3, 4, 23, 35, 37], [4, 5, 8, 10, 28, 45], [4, 5, 6, 7, 9, 19, 20, 22], [14, 17, 19, 21, 23, 25, 26, 34, 45, 76]]","[6, 5, 4, 2, 3, 1]",[nan]
OBMA,4,"(0.5, 144)","[[2, 4, 6, 7, 10, 11], [1, 2, 4, 6, 7, 8, 13, 15, 16, 19, 22, 23, 27, 30, 31, 32, 33, 34, 35, 39], [1, 3, 4, 6, 9, 10, 11, 12, 16, 19, 20, 22, 23, 27, 31, 34, 36, 37, 39, 40], [0, 4, 5, 6, 7, 8, 9, 10, 12, 13, 15, 16, 18, 19, 20, 23, 24, 35, 37, 38, 42, 43, 45, 47], [1, 2, 3, 4, 5, 7, 8, 9, 12, 13, 16, 18, 20, 21, 23, 27, 32, 33, 34, 35, 36, 37, 42, 44, 45, 46, 51, 55], [3, 4, 5, 6, 7, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 26, 27, 28, 29, 30, 32, 34, 35, 36, 38, 39, 41, 43, 44, 51, 52, 53, 54, 61, 63, 66, 67, 69, 75, 76, 77, 79, 85]]","[6, 5, 4, 2, 3, 1]",[nan]
OBMA,4,"(0.25, 72)","[[4, 7, 11], [1, 2, 7, 16, 22, 30, 31, 34, 35, 39], [1, 3, 4, 6, 9, 16, 19, 20, 34, 36], [4, 5, 6, 7, 8, 10, 19, 23, 24, 35, 42, 45], [1, 2, 4, 5, 7, 9, 12, 18, 21, 33, 34, 45, 51, 55], [4, 13, 14, 16, 17, 19, 21, 22, 23, 24, 26, 27, 28, 34, 36, 38, 39, 51, 53, 66, 76, 79, 85]]","[6, 5, 4, 2, 3, 1]",[nan]
OBMA,4,"(0.125, 36)","[[4, 7], [2, 7, 22, 30, 31], [3, 4, 6, 20, 34], [4, 5, 8, 10, 24, 45], [2, 4, 5, 7, 18, 21, 45], [14, 19, 21, 23, 24, 27, 28, 34, 38, 51, 85]]","[6, 5, 4, 2, 3, 1]",[nan]
OBMA,5,"(0.5, 144)","[[1, 2, 3, 5, 6, 9, 11, 12, 13], [1, 3, 4, 6, 7, 12, 13, 14, 16, 22, 23, 27, 29, 30, 31, 32, 33, 34], [0, 1, 3, 4, 5, 6, 7, 8, 9, 12, 13, 15, 17, 18, 21, 22, 28, 32, 39, 41, 42], [1, 4, 5, 7, 9, 11, 15, 18, 20, 21, 23, 26, 28, 29, 32, 35, 37, 38, 40, 41, 42], [1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 13, 19, 23, 24, 27, 29, 30, 31, 33, 34, 40, 41, 43, 44, 50, 51, 55, 56], [2, 3, 5, 6, 9, 10, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 35, 36, 37, 40, 41, 44, 45, 50, 51, 52, 53, 54, 61, 64, 67, 68, 69, 75, 77, 83, 84]]","[6, 5, 2, 4, 3, 1]",[nan]
OBMA,5,"(0.25, 72)","[[1, 2, 9, 12, 13], [1, 3, 6, 14, 22, 23, 30, 32, 34], [0, 3, 4, 5, 6, 7, 8, 15, 21, 22, 39], [4, 5, 7, 11, 15, 21, 23, 35, 37, 40, 42], [2, 3, 4, 5, 6, 8, 9, 10, 12, 24, 30, 40, 41, 55], [5, 9, 15, 18, 19, 21, 22, 23, 24, 26, 28, 29, 31, 35, 40, 41, 50, 51, 52, 75, 77, 84]]","[6, 5, 2, 4, 3, 1]",[nan]
OBMA,5,"(0.125, 36)","[[2, 12], [1, 6, 22, 23, 32], [4, 5, 8, 15, 22], [4, 11, 35, 37, 40], [2, 4, 5, 6, 8, 10, 41], [9, 18, 19, 22, 23, 24, 26, 29, 35, 40, 51, 84]]","[6, 5, 2, 4, 3, 1]",[nan]
OBMA,6,"(0.5, 144)","[[0, 1, 2, 10, 11, 12], [1, 3, 4, 5, 7, 8, 9, 12, 16, 20, 21, 22, 27, 30, 31, 35, 36, 37, 39, 40, 41], [1, 2, 4, 5, 7, 8, 9, 10, 17, 20, 21, 23, 24, 26, 28, 32, 35, 36, 37, 39, 41], [0, 1, 2, 4, 5, 6, 7, 8, 10, 15, 17, 20, 21, 22, 24, 26, 27, 36, 37, 40, 44, 45, 46, 47, 50], [1, 2, 4, 5, 6, 7, 8, 9, 12, 13, 18, 20, 21, 22, 24, 29, 30, 31, 33, 41, 42, 43, 44, 45, 51, 53, 54], [3, 4, 7, 9, 10, 14, 15, 17, 18, 19, 20, 22, 23, 24, 25, 27, 28, 29, 30, 31, 34, 36, 37, 38, 40, 42, 43, 49, 50, 51, 52, 56, 60, 61, 62, 64, 65, 70, 71, 79, 80]]","[6, 4, 5, 2, 3, 1]",[nan]
OBMA,6,"(0.25, 72)","[[0, 10, 12], [4, 5, 7, 12, 20, 21, 22, 35, 39, 40, 41], [1, 2, 4, 5, 8, 17, 20, 26, 28, 36, 37], [0, 4, 5, 6, 7, 8, 17, 21, 37, 44, 46, 47, 50], [2, 4, 5, 6, 7, 9, 12, 18, 22, 29, 30, 31, 42, 54], [9, 14, 15, 18, 20, 22, 23, 24, 25, 28, 29, 30, 34, 36, 37, 49, 62, 70, 79, 80]]","[6, 4, 5, 2, 3, 1]",[nan]
